instrument_id,trading_day,open,high,low,close,volume,turnover,open_interest
T2409,20240131,103.59500122070000000,103.59500122070000000,103.41500091550000000,103.51000213620000000,795.000000,822567300.000000,2406.000000
T2409,20240201,103.48999786380000000,103.54499816890000000,103.43499755860000000,103.47000122070000000,447.000000,462578200.000000,2401.000000
T2409,20240202,103.47000122070000000,103.48999786380000000,103.41500091550000000,103.47000122070000000,294.000000,304151200.000000,2428.000000
T2409,20240205,103.61000061040000000,103.66000366210000000,103.47000122070000000,103.58000183110000000,694.000000,718823400.000000,2545.000000
T2409,20240206,103.54499816890000000,103.54499816890000000,103.30000305180000000,103.31999969480000000,1057.000000,1092669750.000000,2628.000000
T2409,20240207,103.26999664310000000,103.48999786380000000,103.18499755860000000,103.44999694820000000,781.000000,807361400.000000,2720.000000
T2409,20240208,103.51999664310000000,103.52500152590000000,103.29000091550000000,103.33000183110000000,705.000000,728936600.000000,2826.000000
T2409,20240219,103.28500366210000000,103.54499816890000000,103.25000000000000000,103.52500152590000000,2498.000000,2583918600.000000,3593.000000
T2409,20240220,103.58499908450000000,103.62999725340000000,103.45999908450000000,103.58499908450000000,1081.000000,1119198450.000000,3774.000000
T2409,20240221,103.80000305180000000,103.80000305180000000,103.48999786380000000,103.62999725340000000,958.000000,992391600.000000,3881.000000
T2409,20240222,103.60500335690000000,103.75499725340000000,103.57499694820000000,103.75000000000000000,1168.000000,1210601050.000000,4174.000000
T2409,20240223,103.88999938960000000,103.93000030520000000,103.77500152590000000,103.79499816890000000,1332.000000,1383275650.000000,4470.000000
T2409,20240226,103.77500152590000000,103.90000152590000000,103.72499847410000000,103.89499664310000000,1242.000000,1289626450.000000,4714.000000
T2409,20240227,103.98000335690000000,104.04000091550000000,103.88999938960000000,103.92500305180000000,3015.000000,3134335350.000000,5641.000000
T2409,20240228,103.90000152590000000,104.05999755860000000,103.90000152590000000,104.05999755860000000,3403.000000,3538255750.000000,7049.000000
T2409,20240229,104.12500000000000000,104.17500305180000000,104.04000091550000000,104.12999725340000000,3091.000000,3217801000.000000,7257.000000
T2409,20240301,104.03500366210000000,104.04499816890000000,103.60500335690000000,103.66500091550000000,9298.000000,9650393050.000000,7814.000000
T2409,20240304,103.74500274660000000,103.91500091550000000,103.74500274660000000,103.89499664310000000,5292.000000,5496753000.000000,7851.000000
T2409,20240305,103.88999938960000000,104.01000213620000000,103.86000061040000000,103.95999908450000000,6516.000000,6772994150.000000,8205.000000
T2409,20240306,104.07499694820000000,104.27999877930000000,104.07499694820000000,104.19000244140000000,5593.000000,5827644150.000000,8494.000000
T2409,20240307,104.43000030520000000,104.44000244140000000,104.01499938960000000,104.13500213620000000,7295.000000,7601980500.000000,9163.000000
T2409,20240308,104.17500305180000000,104.25499725340000000,104.00499725340000000,104.04499816890000000,6198.000000,6453706500.000000,9358.000000
T2409,20240311,104.07499694820000000,104.16500091550000000,103.94000244140000000,103.97499847410000000,6603.000000,6870896450.000000,9852.000000
T2409,20240312,103.80000305180000000,103.94499969480000000,103.73000335690000000,103.73999786380000000,8257.000000,8573645800.000000,10415.000000
T2409,20240313,103.73000335690000000,103.86499786380000000,103.51499938960000000,103.83999633790000000,12384.000000,12839839850.000000,11334.000000
T2409,20240314,103.76000213620000000,103.81999969480000000,103.63999938960000000,103.70500183110000000,13296.000000,13790897300.000000,12315.000000
T2409,20240315,103.64499664310000000,103.87000274660000000,103.64499664310000000,103.80999755860000000,7217.000000,7490858800.000000,13031.000000
T2409,20240318,103.80000305180000000,103.94499969480000000,103.66000366210000000,103.87000274660000000,5845.000000,6070329400.000000,13363.000000
T2409,20240319,103.94499969480000000,104.06500244140000000,103.87000274660000000,104.05500030520000000,6884.000000,7156349900.000000,14242.000000
T2409,20240320,103.98500061040000000,104.02500152590000000,103.86499786380000000,103.86499786380000000,4921.000000,5115088350.000000,14829.000000
T2409,20240321,103.87500000000000000,104.03500366210000000,103.82499694820000000,104.01499938960000000,5308.000000,5517495050.000000,14885.000000
T2409,20240322,104.05500030520000000,104.08000183110000000,103.72499847410000000,103.73000335690000000,7963.000000,8275133150.000000,14930.000000
T2409,20240325,103.73500061040000000,103.85500335690000000,103.63999938960000000,103.70500183110000000,5933.000000,6154519200.000000,15064.000000
T2409,20240326,103.73000335690000000,103.77999877930000000,103.63999938960000000,103.69999694820000000,3623.000000,3756941000.000000,15156.000000
T2409,20240327,103.72499847410000000,103.91000366210000000,103.66500091550000000,103.85500335690000000,4477.000000,4645853950.000000,15289.000000
T2409,20240328,103.87000274660000000,103.97000122070000000,103.80500030520000000,103.84999847410000000,6197.000000,6438683700.000000,15439.000000
T2409,20240329,103.75000000000000000,104.08999633790000000,103.75000000000000000,104.08000183110000000,5564.000000,5781856550.000000,15623.000000
T2409,20240401,103.95999908450000000,103.95999908450000000,103.72499847410000000,103.78500366210000000,5162.000000,5357878450.000000,15901.000000
T2409,20240402,103.81999969480000000,103.89499664310000000,103.76499938960000000,103.87000274660000000,4360.000000,4527229000.000000,15834.000000
T2409,20240403,103.91500091550000000,104.04499816890000000,103.89499664310000000,103.97000122070000000,4243.000000,4411969000.000000,15917.000000
T2409,20240408,103.94999694820000000,104.14499664310000000,103.94000244140000000,104.05500030520000000,4180.000000,4349759250.000000,16264.000000
T2409,20240409,104.05999755860000000,104.20500183110000000,104.05500030520000000,104.17500305180000000,3385.000000,3525187400.000000,16618.000000
T2409,20240410,104.05000305180000000,104.13999938960000000,104.00499725340000000,104.06999969480000000,4638.000000,4826616500.000000,16379.000000
T2409,20240411,104.10500335690000000,104.18000030520000000,104.04000091550000000,104.07499694820000000,6322.000000,6581451350.000000,16310.000000
T2409,20240412,104.16999816890000000,104.40499877930000000,104.16999816890000000,104.29000091550000000,6979.000000,7278503550.000000,16600.000000
T2409,20240415,104.40000152590000000,104.47000122070000000,104.30000305180000000,104.33000183110000000,9121.000000,9522070550.000000,16995.000000
T2409,20240416,104.35500335690000000,104.43000030520000000,104.33499908450000000,104.40499877930000000,5729.000000,5980326900.000000,17564.000000
T2409,20240417,104.45999908450000000,104.50000000000000000,104.37999725340000000,104.43000030520000000,4397.000000,4592377500.000000,17924.000000
T2409,20240418,104.44999694820000000,104.61000061040000000,104.40000152590000000,104.58499908450000000,6621.000000,6920083250.000000,18466.000000
T2409,20240419,104.59999847410000000,104.62999725340000000,104.53500366210000000,104.56500244140000000,5092.000000,5324882350.000000,18999.000000
T2409,20240422,104.58000183110000000,104.69999694820000000,104.58000183110000000,104.63999938960000000,7441.000000,7787408000.000000,20195.000000
T2409,20240423,104.66999816890000000,104.86499786380000000,104.66999816890000000,104.80999755860000000,9204.000000,9644326800.000000,20648.000000
T2409,20240424,104.69000244140000000,104.69000244140000000,104.45500183110000000,104.47000122070000000,9683.000000,10123310500.000000,21266.000000
T2409,20240425,104.42500305180000000,104.55000305180000000,104.41999816890000000,104.44999694820000000,10264.000000,10723204900.000000,22128.000000
T2409,20240426,104.52999877930000000,104.55999755860000000,104.13500213620000000,104.15499877930000000,11726.000000,12234727900.000000,24277.000000
T2409,20240429,103.94999694820000000,103.94999694820000000,103.52500152590000000,103.75000000000000000,20043.000000,20794036650.000000,24674.000000
T2409,20240430,103.87000274660000000,104.05000305180000000,103.87000274660000000,104.04499816890000000,8507.000000,8843116850.000000,25102.000000
T2409,20240506,104.00000000000000000,104.06999969480000000,103.87500000000000000,104.00000000000000000,14784.000000,15376030450.000000,28772.000000
T2409,20240507,104.15000152590000000,104.22499847410000000,104.09999847410000000,104.19000244140000000,23165.000000,24133738050.000000,37492.000000
T2409,20240508,104.17500305180000000,104.29499816890000000,104.12000274660000000,104.24500274660000000,19181.000000,19990712350.000000,44205.000000
T2409,20240509,104.16500091550000000,104.24500274660000000,103.95999908450000000,103.97000122070000000,20494.000000,21341998800.000000,49228.000000
T2409,20240510,104.05999755860000000,104.13999938960000000,103.90000152590000000,103.96499633790000000,25018.000000,26018914400.000000,54918.000000
T2409,20240513,104.12000274660000000,104.30500030520000000,104.02500152590000000,104.26499938960000000,35482.000000,36972592750.000000,59218.000000
T2409,20240514,104.31500244140000000,104.41000366210000000,104.27500152590000000,104.32499694820000000,38650.000000,40329198400.000000,72534.000000
T2409,20240515,104.39499664310000000,104.41000366210000000,104.23500061040000000,104.32499694820000000,39610.000000,41327212900.000000,86628.000000
T2409,20240516,104.28500366210000000,104.30999755860000000,104.08000183110000000,104.14499664310000000,40921.000000,42633271650.000000,97622.000000
T2409,20240517,104.01499938960000000,104.13999938960000000,103.90499877930000000,104.09500122070000000,59139.000000,61522306150.000000,111044.000000
T2409,20240520,104.18000030520000000,104.30999755860000000,104.12999725340000000,104.27999877930000000,67721.000000,70593721250.000000,126889.000000
T2409,20240521,104.16500091550000000,104.23000335690000000,104.11000061040000000,104.20999908450000000,52353.000000,54535738700.000000,133790.000000
T2409,20240522,104.25000000000000000,104.29000091550000000,104.20500183110000000,104.27500152590000000,48870.000000,50951387500.000000,140965.000000
T2409,20240523,104.34999847410000000,104.41000366210000000,104.33999633790000000,104.36000061040000000,45356.000000,47341702400.000000,144808.000000
T2409,20240524,104.36499786380000000,104.43000030520000000,104.29499816890000000,104.30500030520000000,61640.000000,64328180400.000000,149658.000000
T2409,20240527,104.33000183110000000,104.36499786380000000,104.23999786380000000,104.34500122070000000,59520.000000,62076664400.000000,151772.000000
T2409,20240528,104.36499786380000000,104.48000335690000000,104.33499908450000000,104.46499633790000000,62155.000000,64905890250.000000,158404.000000
T2409,20240529,104.55999755860000000,104.61499786380000000,104.48000335690000000,104.50000000000000000,51406.000000,53728229350.000000,162308.000000
T2409,20240530,104.50499725340000000,104.56999969480000000,104.43000030520000000,104.48500061040000000,51066.000000,53375155400.000000,163529.000000
T2409,20240531,104.40000152590000000,104.47000122070000000,104.33000183110000000,104.34999847410000000,71787.000000,74951865650.000000,159449.000000
T2409,20240603,104.40499877930000000,104.55999755860000000,104.40000152590000000,104.52999877930000000,53114.000000,55500993750.000000,166913.000000
T2409,20240604,104.51999664310000000,104.59500122070000000,104.48500061040000000,104.57499694820000000,48043.000000,50223891650.000000,166940.000000
T2409,20240605,104.59999847410000000,104.70500183110000000,104.59500122070000000,104.66999816890000000,56062.000000,58675587400.000000,173974.000000
T2409,20240606,104.69000244140000000,104.71499633790000000,104.62000274660000000,104.67500305180000000,42613.000000,44599512500.000000,174683.000000
T2409,20240607,104.66500091550000000,104.70500183110000000,104.61499786380000000,104.69499969480000000,34245.000000,35844519750.000000,175902.000000
T2409,20240611,104.69999694820000000,104.77500152590000000,104.64499664310000000,104.76000213620000000,39119.000000,40970700600.000000,176759.000000
